positions0,positions1,positions2,positions3,positions4,salary0,salary1,salary2,salary3,salary4,term,url
6633,5312,3906,2971,1604,30000,55000,75000,85000,100000,corporation /,"http://www.indeed.com/jobs?q=""corporation+/""&l=Washington%2C+DC"
50,40,37,22,13,80000,100000,105000,115000,130000,senior product,"http://www.indeed.com/jobs?q=""senior+product""&l=Washington%2C+DC"
19277,14996,11506,8820,4103,35000,55000,70000,80000,100000,washington,"http://www.indeed.com/jobs?q=""washington""&l=Washington%2C+DC"
20307,15742,12074,8075,4518,35000,55000,70000,85000,100000,dc,"http://www.indeed.com/jobs?q=""dc""&l=Washington%2C+DC"
972,823,624,393,277,70000,80000,90000,100000,105000,cmmi,"http://www.indeed.com/jobs?q=""cmmi""&l=Washington%2C+DC"
97,80,66,45,33,90000,100000,105000,110000,115000,agile methods,"http://www.indeed.com/jobs?q=""agile+methods""&l=Washington%2C+DC"
1854,1506,1280,773,406,90000,100000,105000,115000,125000,aws,"http://www.indeed.com/jobs?q=""aws""&l=Washington%2C+DC"
1101,926,772,434,288,80000,90000,95000,105000,110000,jira,"http://www.indeed.com/jobs?q=""jira""&l=Washington%2C+DC"
10,8,6,5,2,65000,95000,100000,105000,110000,pivotal tracker,"http://www.indeed.com/jobs?q=""pivotal+tracker""&l=Washington%2C+DC"
34,29,22,15,7,90000,95000,100000,105000,115000,behavior-driven,"http://www.indeed.com/jobs?q=""behavior-driven""&l=Washington%2C+DC"
45327,37759,29081,18570,10300,30000,45000,65000,85000,100000,working,"http://www.indeed.com/jobs?q=""working""&l=Washington%2C+DC"
463,385,313,188,103,70000,80000,90000,105000,115000,cio,"http://www.indeed.com/jobs?q=""cio""&l=Washington%2C+DC"
611,509,376,290,177,40000,60000,75000,85000,95000,aviation,"http://www.indeed.com/jobs?q=""aviation""&l=Washington%2C+DC"
33881,27353,20849,14801,8231,30000,50000,70000,85000,100000,it,"http://www.indeed.com/jobs?q=""it""&l=Washington%2C+DC"
426,339,253,183,87,75000,85000,95000,105000,120000,business case,"http://www.indeed.com/jobs?q=""business+case""&l=Washington%2C+DC"
4,3,2,1,,70000,85000,100000,110000,,contract structure,"http://www.indeed.com/jobs?q=""contract+structure""&l=Washington%2C+DC"
16,13,10,7,4,50000,55000,65000,75000,90000,peacekeeping,"http://www.indeed.com/jobs?q=""peacekeeping""&l=Washington%2C+DC"
2,1,,,,55000,105000,,,,addis ababa,"http://www.indeed.com/jobs?q=""addis+ababa""&l=Washington%2C+DC"
17,15,10,7,5,50000,55000,70000,80000,90000,ethiopia,"http://www.indeed.com/jobs?q=""ethiopia""&l=Washington%2C+DC"
2729,2126,1603,1312,732,60000,80000,90000,95000,105000,ip,"http://www.indeed.com/jobs?q=""ip""&l=Washington%2C+DC"
191,171,124,86,58,85000,90000,100000,110000,115000,open-source software,"http://www.indeed.com/jobs?q=""open-source+software""&l=Washington%2C+DC"
1998,1629,1312,948,438,60000,80000,90000,100000,115000,new technologies,"http://www.indeed.com/jobs?q=""new+technologies""&l=Washington%2C+DC"
25976,20547,14972,10891,6078,20000,30000,45000,60000,80000,assigned,"http://www.indeed.com/jobs?q=""assigned""&l=Washington%2C+DC"
791,638,482,326,185,60000,75000,85000,95000,105000,network operations,"http://www.indeed.com/jobs?q=""network+operations""&l=Washington%2C+DC"
2,1,,,,55000,105000,,,,addis ababa,"http://www.indeed.com/jobs?q=""addis+ababa""&l=Washington%2C+DC"
13791,11159,7772,5127,2857,20000,30000,50000,70000,90000,others /,"http://www.indeed.com/jobs?q=""others+/""&l=Washington%2C+DC"
317,255,220,144,67,75000,85000,90000,100000,115000,it project,"http://www.indeed.com/jobs?q=""it+project""&l=Washington%2C+DC"
19278,14997,11507,8819,4102,35000,55000,70000,80000,100000,washington,"http://www.indeed.com/jobs?q=""washington""&l=Washington%2C+DC"
25,19,15,11,5,30000,55000,75000,90000,120000,dc it,"http://www.indeed.com/jobs?q=""dc+it""&l=Washington%2C+DC"
76,63,48,34,18,55000,75000,95000,110000,125000,world bank,"http://www.indeed.com/jobs?q=""world+bank""&l=Washington%2C+DC"
4,2,1,,,40000,45000,90000,,,greenpeace,"http://www.indeed.com/jobs?q=""greenpeace""&l=Washington%2C+DC"
103,82,62,49,25,45000,70000,90000,100000,110000,borders,"http://www.indeed.com/jobs?q=""borders""&l=Washington%2C+DC"
45324,37755,29082,18570,10299,30000,45000,65000,85000,100000,working,"http://www.indeed.com/jobs?q=""working""&l=Washington%2C+DC"
715,605,445,307,154,50000,70000,85000,95000,105000,lockheed martin,"http://www.indeed.com/jobs?q=""lockheed+martin""&l=Washington%2C+DC"
183,148,113,70,37,65000,75000,80000,90000,100000,project engineer,"http://www.indeed.com/jobs?q=""project+engineer""&l=Washington%2C+DC"
19278,14997,11507,8819,4102,35000,55000,70000,80000,100000,washington,"http://www.indeed.com/jobs?q=""washington""&l=Washington%2C+DC"
6,5,3,2,1,55000,65000,80000,85000,105000,dc project,"http://www.indeed.com/jobs?q=""dc+project""&l=Washington%2C+DC"
98,79,64,54,26,70000,85000,95000,100000,115000,lead engineer,"http://www.indeed.com/jobs?q=""lead+engineer""&l=Washington%2C+DC"
25,21,16,12,5,50000,55000,65000,70000,85000,healthcare sectors,"http://www.indeed.com/jobs?q=""healthcare+sectors""&l=Washington%2C+DC"
3395,2757,2024,1432,861,50000,70000,85000,95000,105000,developed,"http://www.indeed.com/jobs?q=""developed""&l=Washington%2C+DC"
569,468,342,248,128,25000,35000,55000,65000,95000,profits,"http://www.indeed.com/jobs?q=""profits""&l=Washington%2C+DC"
6244,4998,3669,2435,1396,25000,40000,60000,80000,95000,energy,"http://www.indeed.com/jobs?q=""energy""&l=Washington%2C+DC"
2885,2435,1713,1210,671,35000,50000,75000,90000,105000,guide,"http://www.indeed.com/jobs?q=""guide""&l=Washington%2C+DC"
376,293,220,160,88,35000,55000,75000,90000,110000,small businesses,"http://www.indeed.com/jobs?q=""small+businesses""&l=Washington%2C+DC"
3,2,1,,,70000,75000,85000,,,epa energy,"http://www.indeed.com/jobs?q=""epa+energy""&l=Washington%2C+DC"
34873,27243,20837,14528,8288,30000,50000,65000,80000,95000,program,"http://www.indeed.com/jobs?q=""program""&l=Washington%2C+DC"
50404,38378,29113,20984,9863,25000,45000,65000,80000,100000,qualifications,"http://www.indeed.com/jobs?q=""qualifications""&l=Washington%2C+DC"
60,51,41,22,17,25000,30000,35000,50000,55000,business school /,"http://www.indeed.com/jobs?q=""business+school+/""&l=Washington%2C+DC"
1211,977,775,563,314,70000,85000,95000,105000,120000,mba,"http://www.indeed.com/jobs?q=""mba""&l=Washington%2C+DC"
76,62,46,31,15,30000,40000,50000,60000,80000,organizer,"http://www.indeed.com/jobs?q=""organizer""&l=Washington%2C+DC"
50440,40862,31022,21397,10194,25000,40000,60000,80000,100000,environment,"http://www.indeed.com/jobs?q=""environment""&l=Washington%2C+DC"
340,272,204,146,67,55000,75000,90000,105000,125000,business leaders,"http://www.indeed.com/jobs?q=""business+leaders""&l=Washington%2C+DC"
964,833,651,430,246,65000,75000,85000,95000,105000,root cause,"http://www.indeed.com/jobs?q=""root+cause""&l=Washington%2C+DC"
736,464,407,282,138,20000,25000,30000,45000,90000,boston,"http://www.indeed.com/jobs?q=""boston""&l=Washington%2C+DC"
1486,1186,885,666,332,35000,60000,80000,90000,105000,ma,"http://www.indeed.com/jobs?q=""ma""&l=Washington%2C+DC"
7646,6117,4563,3112,1635,30000,45000,60000,75000,95000,maryland,"http://www.indeed.com/jobs?q=""maryland""&l=Washington%2C+DC"
