positions0,positions1,positions2,positions3,positions4,salary0,salary1,salary2,salary3,salary4,term,url
3,2,1,,,50000,60000,95000,,,doll,"http://www.indeed.com/jobs?q=""doll""&l=Washington%2C+DC"
14593,12036,9300,6201,3448,40000,55000,70000,85000,100000,washington dc,"http://www.indeed.com/jobs?q=""washington+dc""&l=Washington%2C+DC"
1211,977,775,563,314,70000,85000,95000,105000,120000,mba,"http://www.indeed.com/jobs?q=""mba""&l=Washington%2C+DC"
33885,27359,20852,14807,8236,30000,50000,70000,85000,100000,it,"http://www.indeed.com/jobs?q=""it""&l=Washington%2C+DC"
2,1,,,,95000,110000,,,,tangible business value,"http://www.indeed.com/jobs?q=""tangible+business+value""&l=Washington%2C+DC"
463,367,274,220,128,75000,90000,100000,105000,115000,enterprise software,"http://www.indeed.com/jobs?q=""enterprise+software""&l=Washington%2C+DC"
9,8,6,4,2,110000,120000,130000,135000,140000,cloud migrations,"http://www.indeed.com/jobs?q=""cloud+migrations""&l=Washington%2C+DC"
353,300,239,171,93,75000,90000,100000,110000,120000,data science,"http://www.indeed.com/jobs?q=""data+science""&l=Washington%2C+DC"
222,202,164,123,57,80000,85000,90000,95000,105000,custom software,"http://www.indeed.com/jobs?q=""custom+software""&l=Washington%2C+DC"
215,166,147,85,56,80000,90000,95000,105000,110000,security threats,"http://www.indeed.com/jobs?q=""security+threats""&l=Washington%2C+DC"
1551,1233,987,630,340,45000,70000,85000,100000,110000,real time,"http://www.indeed.com/jobs?q=""real+time""&l=Washington%2C+DC"
261,222,174,116,66,50000,65000,75000,85000,95000,faa,"http://www.indeed.com/jobs?q=""faa""&l=Washington%2C+DC"
16,13,10,7,4,50000,55000,65000,75000,90000,peacekeeping,"http://www.indeed.com/jobs?q=""peacekeeping""&l=Washington%2C+DC"
3,1,,,,70000,75000,,,,three-person team,"http://www.indeed.com/jobs?q=""three-person+team""&l=Washington%2C+DC"
33879,27353,20847,14802,8233,30000,50000,70000,85000,100000,it,"http://www.indeed.com/jobs?q=""it""&l=Washington%2C+DC"
114,89,68,46,24,40000,80000,100000,110000,130000,early-stage,"http://www.indeed.com/jobs?q=""early-stage""&l=Washington%2C+DC"
19275,14991,11502,8818,4103,35000,55000,70000,80000,100000,washington,"http://www.indeed.com/jobs?q=""washington""&l=Washington%2C+DC"
258,216,156,100,56,55000,70000,80000,90000,100000,ir,"http://www.indeed.com/jobs?q=""ir""&l=Washington%2C+DC"
5271,4010,3335,2104,1089,25000,40000,50000,70000,90000,internet,"http://www.indeed.com/jobs?q=""internet""&l=Washington%2C+DC"
74,65,44,31,26,65000,85000,95000,110000,115000,iot,"http://www.indeed.com/jobs?q=""iot""&l=Washington%2C+DC"
13,11,8,7,3,65000,70000,85000,90000,95000,rigil,"http://www.indeed.com/jobs?q=""rigil""&l=Washington%2C+DC"
