positions0,positions1,positions2,positions3,positions4,salary0,salary1,salary2,salary3,salary4,term,url
19302,16112,11501,8849,4110,35000,50000,70000,80000,100000,washington,http://www.indeed.com/jobs?q=washington&l=Washington%2C+DC
6331,5121,3686,2765,1502,40000,60000,80000,90000,105000,dc it,http://www.indeed.com/jobs?q=dc+it&l=Washington%2C+DC
318,247,187,136,71,35000,45000,70000,95000,120000,world bank,http://www.indeed.com/jobs?q=world+bank&l=Washington%2C+DC
5,4,2,1,,35000,40000,45000,90000,,greenpeace,http://www.indeed.com/jobs?q=greenpeace&l=Washington%2C+DC
452,373,286,186,105,50000,70000,85000,100000,110000,borders,http://www.indeed.com/jobs?q=borders&l=Washington%2C+DC
45519,37890,29126,18630,10315,30000,45000,65000,85000,100000,working,http://www.indeed.com/jobs?q=working&l=Washington%2C+DC
32,25,19,13,9,20000,30000,50000,65000,85000,aspen systems,http://www.indeed.com/jobs?q=aspen+systems&l=Washington%2C+DC
714,562,446,305,147,50000,75000,85000,95000,105000,lockheed martin,http://www.indeed.com/jobs?q=lockheed+martin&l=Washington%2C+DC
10333,7930,6847,4423,2254,70000,85000,90000,100000,110000,project engineer,http://www.indeed.com/jobs?q=project+engineer&l=Washington%2C+DC
19290,16105,11497,8845,4108,35000,50000,70000,80000,100000,washington,http://www.indeed.com/jobs?q=washington&l=Washington%2C+DC
7549,6180,4591,3399,1696,50000,65000,80000,90000,105000,dc project,http://www.indeed.com/jobs?q=dc+project&l=Washington%2C+DC
4100,3456,2535,2024,1055,80000,90000,100000,105000,115000,lead engineer,http://www.indeed.com/jobs?q=lead+engineer&l=Washington%2C+DC
465,396,280,216,111,60000,75000,90000,95000,110000,energy sector projects,http://www.indeed.com/jobs?q=energy+sector+projects&l=Washington%2C+DC
808,681,532,337,180,50000,65000,80000,95000,110000,healthcare sectors,http://www.indeed.com/jobs?q=healthcare+sectors&l=Washington%2C+DC
3395,2748,2024,1434,858,50000,70000,85000,95000,105000,developed,http://www.indeed.com/jobs?q=developed&l=Washington%2C+DC
2,1,,,,75000,95000,,,,four-person team,http://www.indeed.com/jobs?q=four-person+team&l=Washington%2C+DC
34,25,19,13,7,70000,85000,95000,100000,120000,$ 5m project,http://www.indeed.com/jobs?q=$+5m+project&l=Washington%2C+DC
5008,4124,3084,2115,1100,30000,40000,55000,70000,90000,profits,http://www.indeed.com/jobs?q=profits&l=Washington%2C+DC
6277,5012,3683,2423,1387,25000,40000,60000,80000,95000,energy,http://www.indeed.com/jobs?q=energy&l=Washington%2C+DC
4749,3868,2833,1948,998,35000,55000,75000,90000,105000,guide,http://www.indeed.com/jobs?q=guide&l=Washington%2C+DC
5271,4180,3199,2422,1082,35000,60000,75000,85000,105000,small businesses,http://www.indeed.com/jobs?q=small+businesses&l=Washington%2C+DC
53,42,36,22,12,30000,50000,60000,80000,90000,epa energy,http://www.indeed.com/jobs?q=epa+energy&l=Washington%2C+DC
47330,36468,27815,19242,10970,30000,50000,65000,80000,95000,program,http://www.indeed.com/jobs?q=program&l=Washington%2C+DC
52340,39846,30116,21615,10151,25000,45000,65000,80000,100000,qualifications,http://www.indeed.com/jobs?q=qualifications&l=Washington%2C+DC
6993,5811,3916,2590,1512,20000,25000,35000,45000,60000,business school /,http://www.indeed.com/jobs?q=business+school+/&l=Washington%2C+DC
1314,1058,836,615,343,70000,85000,95000,105000,120000,mba,http://www.indeed.com/jobs?q=mba&l=Washington%2C+DC
112,92,67,49,24,35000,40000,50000,60000,80000,organizer,http://www.indeed.com/jobs?q=organizer&l=Washington%2C+DC
54252,44410,31865,23785,11396,25000,40000,65000,80000,100000,environment,http://www.indeed.com/jobs?q=environment&l=Washington%2C+DC
7986,6508,5080,3668,1676,35000,55000,75000,90000,110000,business leaders,http://www.indeed.com/jobs?q=business+leaders&l=Washington%2C+DC
956,826,643,425,234,65000,75000,85000,95000,105000,root cause,http://www.indeed.com/jobs?q=root+cause&l=Washington%2C+DC
86,63,47,36,16,40000,55000,60000,65000,85000,institute / research fellowship,http://www.indeed.com/jobs?q=institute+/+research+fellowship&l=Washington%2C+DC
776,494,439,284,157,20000,25000,30000,55000,90000,boston,http://www.indeed.com/jobs?q=boston&l=Washington%2C+DC
1533,1216,909,692,345,35000,60000,80000,90000,105000,ma,http://www.indeed.com/jobs?q=ma&l=Washington%2C+DC
7238,6196,4636,3115,1636,35000,45000,60000,75000,95000,maryland,http://www.indeed.com/jobs?q=maryland&l=Washington%2C+DC
16,14,12,8,5,65000,75000,80000,85000,95000,b. s. mechanical engineering,http://www.indeed.com/jobs?q=b.+s.+mechanical+engineering&l=Washington%2C+DC
